assessment_year;advice_period;advice_basis.en;advice_basis.is;advice
1983;1984;National advice;Innlend ráðgjöf;55000
1984;1985;National advice;Innlend ráðgjöf;45000
1985;1986;National advice;Innlend ráðgjöf;50000
1986;1987;National advice;Innlend ráðgjöf;50000
1987;1988;National advice;Innlend ráðgjöf;60000
1988;1989;National advice;Innlend ráðgjöf;60000
1989;1990;National advice;Innlend ráðgjöf;60000
1990;1991;National advice;Innlend ráðgjöf;38000
1991;1991/1992;National advice;Innlend ráðgjöf;50000
1992;1992/1993;National advice;Innlend ráðgjöf;60000
1993;1993/1994;National advice;Innlend ráðgjöf;65000
1994;1994/1995;National advice;Innlend ráðgjöf;65000
1995;1995/1996;National advice;Innlend ráðgjöf;55000
1996;1996/1997;National advice;Innlend ráðgjöf;40000
1997;1997/1998;National advice;Innlend ráðgjöf;40000
1998;1998/1999;National advice;Innlend ráðgjöf;35000
1999;1999/2000;F reduced below Fmed;F sett fyrir neðan Fmed;35000
2000;2000/2001;F reduced below provisional Fpa;F niður fyrir Fpa;31000
2001;2001/2002;F reduced below provisional Fpa;F niður fyrir Fpa;30000
2002;2002/2003;F reduced below provisional Fpa;F niður fyrir Fpa;55000
2003;2003/2004;F reduced below provisional Fpa;F niður fyrir Fpa;75000
2004;2004/2005;F reduced below provisional Fpa;F niður fyrir Fpa;97000
2005;2005/2006;F reduced below provisional Fpa;F niður fyrir Fpa;110000
2006;2006/2007;F reduced below provisional Fpa;F niður fyrir Fpa;112000
2007;2007/2008;F reduced below provisional Fpa;F niður fyrir Fpa;120000
2008;2008/2009;F reduced below 0.35;F niður fyrir 0.35;83000
2009;2009/2010;F reduced below 0.35;F niður fyrir 0.35;57000
2010;2010/2011;F reduced below 0.35;F niður fyrir 0.35;51000
2011;2011/2012;F reduced below 0.35;F niður fyrir 0.35;42000
2012;2012/2013;F reduced below 0.35;F niður fyrir 0.35;32000
2013;2013/2014;TAC 0.4 × B45+cm;40% aflaregla;38000
2014;2014/2015;TAC 0.4 × B45+cm;40% aflaregla;30400
2015;2015/2016;TAC 0.4 × B45+cm;40% aflaregla;36400
2016;2016/2017;TAC 0.4 × B45+cm;40% aflaregla;34600
2017;2017/2018;TAC 0.4 × B45+cm;40% aflaregla;41390
2018;2018/2019;TAC 0.4 × B45+cm;40% aflaregla;57982
2019;2019/2020;TAC 0.35 x B45+cm;35% aflaregla;41823
2020;2020/2021;TAC 0.35 x B45+cm;35% aflaregla;45389
2021;2021/2022;TAC 0.35 x B45+cm;35% aflaregla;50429
2022;2022/2023;TAC 0.35 x B45+cm;35% aflaregla;62219
2023;2023/2024;TAC 0.35 x B45+cm;35% aflaregla;76415
2024;2024/2025;TAC 0.35 x B45+cm;35% aflaregla;76774
2025;2025/2026;TAC 0.35 x B45+cm;35 % aflaregla;78918
