year,species,low_recruitment,median_recruitment,high_recruitment,low_SSB,median_SSB,high_SSB,median_refbio,landings,low_HR,median_HR,high_HR,assessment_year,low_refbio,high_refbio,median_F,low_lecruitment,low_F,high_F
1979,2,26268,43603,72377,64081,73060,83297,98632,59332,0.52,0.587,0.661,2025,NA,NA,NA,NA,NA,NA
1980,2,10055,16812,28108,77852,89689,103325,129897,53863,0.386,0.439,0.498,2025,NA,NA,NA,NA,NA,NA
1981,2,32447,52031,83436,92957,105488,119707,166886,67126,0.366,0.409,0.457,2025,NA,NA,NA,NA,NA,NA
1982,2,23688,37630,59777,84760,95237,107008,154458,69385,0.419,0.462,0.508,2025,NA,NA,NA,NA,NA,NA
1983,2,15840,24315,37324,69519,77514,86429,121788,65869,0.493,0.537,0.585,2025,NA,NA,NA,NA,NA,NA
1984,2,35976,50832,71823,52610,58393,64812,91940,48236,0.495,0.537,0.583,2025,NA,NA,NA,NA,NA,NA
1985,2,70850,91457,118057,42231,46738,51726,91773,50953,0.485,0.529,0.576,2025,NA,NA,NA,NA,NA,NA
1986,2,185813,236580,301217,34997,38816,43051,78032,48881,0.538,0.592,0.651,2025,NA,NA,NA,NA,NA,NA
1987,2,31395,41721,55443,30733,34253,38176,66537,41033,0.497,0.571,0.655,2025,NA,NA,NA,NA,NA,NA
1988,2,22487,30206,40574,46779,52218,58290,91246,54148,0.525,0.592,0.668,2025,NA,NA,NA,NA,NA,NA
1989,2,23677,31417,41686,65520,73510,82474,118754,62804,0.51,0.569,0.635,2025,NA,NA,NA,NA,NA,NA
1990,2,105059,136130,176390,69550,77610,86604,114196,67095,0.543,0.595,0.652,2025,NA,NA,NA,NA,NA,NA
1991,2,137640,175884,224754,55532,61666,68477,101948,54709,0.5,0.544,0.592,2025,NA,NA,NA,NA,NA,NA
1992,2,26097,34933,46761,43655,48146,53099,71419,47185,0.603,0.664,0.732,2025,NA,NA,NA,NA,NA,NA
1993,2,42334,55683,73241,50796,56521,62891,69667,48890,0.671,0.754,0.848,2025,NA,NA,NA,NA,NA,NA
1994,2,78384,101246,130776,59655,66653,74473,72734,61588,0.766,0.856,0.957,2025,NA,NA,NA,NA,NA,NA
1995,2,60332,76515,97039,55836,61522,67788,88248,61452,0.624,0.685,0.752,2025,NA,NA,NA,NA,NA,NA
1996,2,144019,179140,222825,45409,49691,54378,69643,57103,0.741,0.811,0.888,2025,NA,NA,NA,NA,NA,NA
1997,2,17227,22090,28325,41006,44932,49235,61893,44057,0.677,0.751,0.833,2025,NA,NA,NA,NA,NA,NA
1998,2,46487,57972,72294,46804,51298,56223,51761,41396,0.66,0.753,0.859,2025,NA,NA,NA,NA,NA,NA
1999,2,122724,152350,189128,44504,49251,54504,57402,45425,0.746,0.828,0.92,2025,NA,NA,NA,NA,NA,NA
2000,2,125892,153667,187570,40612,44691,49181,60817,41239,0.604,0.67,0.742,2025,NA,NA,NA,NA,NA,NA
2001,2,183900,222624,269502,49402,54290,59662,61429,39848,0.532,0.611,0.702,2025,NA,NA,NA,NA,NA,NA
2002,2,40403,50694,63606,75690,83593,92320,95876,50456,0.442,0.503,0.573,2025,NA,NA,NA,NA,NA,NA
2003,2,159872,195050,237968,120682,133509,147700,135578,61011,0.43,0.484,0.546,2025,NA,NA,NA,NA,NA,NA
2004,2,395539,474807,569961,136256,149954,165029,193419,84927,0.41,0.455,0.505,2025,NA,NA,NA,NA,NA,NA
2005,2,50511,63505,79843,126633,138680,151874,190688,97440,0.454,0.498,0.547,2025,NA,NA,NA,NA,NA,NA
2006,2,53249,66927,84119,107191,116770,127206,161821,97722,0.559,0.616,0.679,2025,NA,NA,NA,NA,NA,NA
2007,2,50450,63281,79375,123971,135585,148288,156684,109880,0.675,0.744,0.82,2025,NA,NA,NA,NA,NA,NA
2008,2,119800,146717,179682,116173,127539,140016,165052,102888,0.577,0.629,0.686,2025,NA,NA,NA,NA,NA,NA
2009,2,27081,34309,43465,100746,111012,122325,145448,82268,0.515,0.562,0.612,2025,NA,NA,NA,NA,NA,NA
2010,2,29281,37160,47159,80146,87976,96571,111100,64237,0.512,0.561,0.614,2025,NA,NA,NA,NA,NA,NA
2011,2,19581,25792,33973,72417,79919,88198,107523,49449,0.427,0.474,0.525,2025,NA,NA,NA,NA,NA,NA
2012,2,30835,38877,49016,72521,80124,88525,122274,46049,0.341,0.378,0.419,2025,NA,NA,NA,NA,NA,NA
2013,2,32586,41710,53389,77321,85824,95261,126037,44047,0.314,0.349,0.388,2025,NA,NA,NA,NA,NA,NA
2014,2,22212,28436,36404,62155,68832,76226,114061,33935,0.274,0.307,0.343,2025,NA,NA,NA,NA,NA,NA
2015,2,106979,131398,161391,68804,75809,83528,119948,39665,0.293,0.326,0.362,2025,NA,NA,NA,NA,NA,NA
2016,2,48316,60404,75515,62217,68244,74855,109126,38100,0.304,0.338,0.375,2025,NA,NA,NA,NA,NA,NA
2017,2,48235,60625,76197,62830,68796,75329,100521,37062,0.329,0.367,0.41,2025,NA,NA,NA,NA,NA,NA
2018,2,77193,95625,118458,71062,77801,85180,125038,48864,0.354,0.397,0.445,2025,NA,NA,NA,NA,NA,NA
2019,2,15708,20263,26138,79653,87583,96301,131774,58044,0.385,0.427,0.473,2025,NA,NA,NA,NA,NA,NA
2020,2,173385,210943,256636,81478,89701,98755,134361,54781,0.367,0.407,0.452,2025,NA,NA,NA,NA,NA,NA
