year,assessment_year,age,species,catch_at_age,stock_maturity,catch_weights,stock_weights,numbers_at_age,F,ssb_weights
2024,2024,1,2,0,0.00123392,170.437,30.3677,63689.8,0,30.3677
2024,2024,2,2,152.123,0.0486193,480.528,154.453,44940.6,0.0037415,154.453
2024,2024,3,2,3885.93,0.270418,768.639,322.789,98937,0.044269,322.789
2024,2024,4,2,13254.9,0.377495,1280.52,719.041,98457,0.160335,719.041
2024,2024,5,2,16498.9,0.586865,1795.81,1222.44,72917.8,0.285639,1222.44
2024,2024,6,2,1359.45,0.763205,2613.73,2202.97,4801.58,0.371731,2202.97
2024,2024,7,2,4383.28,0.880228,2863.81,2542.61,14185.7,0.413386,2542.61
2024,2024,8,2,1103.18,0.966081,3098.65,2877.33,3341.36,0.448753,2877.33
2024,2024,9,2,557.441,1,3434.35,3381.35,1680.43,0.451421,3381.35
2024,2024,10,2,757.607,1,3539.63,3545.41,2235.16,0.463803,3545.41
2025,2024,1,2,0,4.91691e-4,170.437,30.3677,69305.4,0,30.3677
2025,2024,2,2,160.671,0.0179164,483.312,155.859,52144.8,0.00340524,155.859
2025,2024,3,2,1312.87,0.156992,944.663,446.115,36656.8,0.0402904,446.115
2025,2024,4,2,9559.85,0.347975,1279.9,718.493,77495.1,0.145925,718.493
2025,2024,5,2,14309.2,0.626217,1780.3,1205.91,68668.1,0.259967,1205.91
2025,2024,6,2,11737.9,0.78143,2215.41,1699.54,44866.6,0.338322,1699.54
2025,2024,7,2,775.187,0.892375,2823.86,2487.17,2710.72,0.376234,2487.17
2025,2024,8,2,2350.34,0.910523,2995.72,2728.77,7681.77,0.408422,2728.77
2025,2024,9,2,536.962,0.923909,3152.32,2955.93,1746.52,0.41085,2955.93
2025,2024,10,2,637.018,0.938614,3369.1,3281.08,2026.87,0.422119,3281.08
2026,2024,1,2,0,4.91691e-4,170.437,30.3677,69305.4,0,30.3677
2026,2024,2,2,174.14,0.0179164,483.312,155.859,56742.4,0.00339163,155.859
2026,2024,3,2,1517.87,0.158713,948.197,448.737,42547.4,0.0401294,448.737
2026,2024,4,2,3542.87,0.458651,1462.44,885.691,28826.9,0.145342,885.691
2026,2024,5,2,11386,0.625962,1779.74,1205.32,54832.8,0.258928,1205.32
2026,2024,6,2,11302.9,0.77809,2203.02,1684.64,43350.5,0.33697,1684.64
2026,2024,7,2,7464.69,0.851277,2537.56,2103.07,26189.9,0.37473,2103.07
2026,2024,8,2,464.6,0.907924,2968.63,2690.15,1523.45,0.40679,2690.15
2026,2024,9,2,1281.09,0.918412,3084.22,2856.33,4180.49,0.409209,2856.33
2026,2024,10,2,637.876,0.926571,3187.52,3007.88,2036.2,0.420433,3007.88
2027,2024,1,2,0,4.91691e-4,170.437,30.3677,69305.4,0,30.3677
2027,2024,2,2,173.064,0.0179164,483.312,155.859,56742.4,0.00337063,155.859
2027,2024,3,2,1641.7,0.158713,948.197,448.737,46299.5,0.0398809,448.737
