assessment_year;ices_area;tac
1983;5a;60000
1984;5a;60000
1985;5a;60000
1986;5a;60000
1987;5a;65000
1988;5a;65000
1989;5a;65000
1990;5a;48000
1991;5a;50000
1992;5a;65000
1993;5a;65000
1994;5a;65000
1995;5a;60000
1996;5a;45000
1997;5a;45000
1998;5a;35000
1999;5a;35000
2000;5a;30000
2001;5a;41000
2002;5a;55000
2003;5a;75000
2004;5a;90000
2005;5a;105000
2006;5a;105000
2007;5a;100000
2008;5a;93000
2009;5a;63000
2010;5a;50000
2011;5a;45000
2012;5a;36000
2013;5a;38000
2014;5a;30400
2015;5a;36400
2016;5a;34600
2017;5a;41390
2018;5a;57982
2019;5a;41823
2020;5a;45389
2021;5a;41929
2022;5a;62219
2023;5a;76415
2024;5a;76774
